date,IN_METAL_Q,T1_O2,METAL_Q,TEMPERATURE,IN_Q,MAX_CF,PROCESSPHASE_INLET,PROCESSPHASE_OUTLET,T1_NH4,hour_sin,hour_cos,month_sin,month_cos,IN_METAL_Q_lag1h,IN_METAL_Q_lag2h,IN_METAL_Q_lag3h,IN_METAL_Q_roll3h_mean,IN_METAL_Q_roll3h_std,T1_O2_lag1h,T1_O2_lag2h,T1_O2_lag3h,T1_O2_roll3h_mean,T1_O2_roll3h_std,METAL_Q_lag1h,METAL_Q_lag2h,METAL_Q_lag3h,METAL_Q_roll3h_mean,METAL_Q_roll3h_std,TEMPERATURE_lag1h,TEMPERATURE_lag2h,TEMPERATURE_lag3h,TEMPERATURE_roll3h_mean,TEMPERATURE_roll3h_std,IN_Q_lag1h,IN_Q_lag2h,IN_Q_lag3h,IN_Q_roll3h_mean,IN_Q_roll3h_std,MAX_CF_lag1h,MAX_CF_lag2h,MAX_CF_lag3h,MAX_CF_roll3h_mean,MAX_CF_roll3h_std,PROCESSPHASE_INLET_lag1h,PROCESSPHASE_INLET_lag2h,PROCESSPHASE_INLET_lag3h,PROCESSPHASE_INLET_roll3h_mean,PROCESSPHASE_INLET_roll3h_std,PROCESSPHASE_OUTLET_lag1h,PROCESSPHASE_OUTLET_lag2h,PROCESSPHASE_OUTLET_lag3h,PROCESSPHASE_OUTLET_roll3h_mean,PROCESSPHASE_OUTLET_roll3h_std,T1_NH4_lag1h,T1_NH4_lag2h,T1_NH4_lag3h,T1_NH4_roll3h_mean,T1_NH4_roll3h_std
2023-07-31 04:00:00+00:00,30.573633333333337,0.5668666666666666,0.043666666666666666,17.22443333333333,157.05053333333333,27.834266666666668,1.5,1.2666666666666666,0.04066666666666666,0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,30.6725,30.442233333333334,30.78823333333333,30.63432222222204,0.17613107910090314,1.2803,1.3863999999999999,0.4178,1.028166666666667,0.5312484384290782,0.007,0.007,0.08176666666666667,0.03192222222223614,0.043166555139007495,17.26113333333333,17.291933333333336,17.327233333333332,17.29343333333334,0.03307551964094823,155.829,154.86786666666666,155.89716666666666,155.53134444444407,0.5755986159382912,27.671966666666666,28.155666666666665,28.019533333333335,27.94905555555562,0.24943287749414322,1.5666666666666667,1.9333333333333333,1.5,1.6666666666666679,0.23333333333332784,1.3666666666666667,1.1333333333333333,1.2666666666666666,1.2555555555555558,0.11706281947611198,0.058,0.05366666666666667,0.056666666666666664,0.056111111111113186,0.0022194427031522516
2023-07-31 05:00:00+00:00,30.6098,0.9736333333333334,0.007,17.284933333333335,490.4755666666667,27.832966666666668,1.9333333333333333,1.1,0.03966666666666666,0.9659258262890683,0.25881904510252074,-0.4999999999999997,-0.8660254037844388,30.573633333333337,30.6725,30.442233333333334,30.562788888888708,0.1155157388155319,0.5668666666666666,1.2803,1.3863999999999999,1.0778555555555558,0.44569780785407437,0.043666666666666666,0.007,0.007,0.019222222222236133,0.021169509895975634,17.22443333333333,17.26113333333333,17.291933333333336,17.259166666666673,0.0337929479753921,157.05053333333333,155.829,154.86786666666666,155.91579999999962,1.0939191680814655,27.834266666666668,27.671966666666666,28.155666666666665,27.887300000000067,0.24617234478708666,1.5,1.5666666666666667,1.9333333333333333,1.6666666666666679,0.23333333333332784,1.2666666666666666,1.3666666666666667,1.1333333333333333,1.2555555555555555,0.11706281947611198,0.04066666666666666,0.058,0.05366666666666667,0.050777777777779844,0.00902055266360575
2023-07-31 06:00:00+00:00,30.115499999999997,1.2428666666666668,0.043666666666666666,17.231166666666663,678.9145666666666,28.988999999999997,1.5666666666666667,1.3666666666666667,0.192,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,30.6098,30.573633333333337,30.6725,30.618644444444268,0.05002322041608216,0.9736333333333334,0.5668666666666666,1.2803,0.940266666666667,0.3578851507273116,0.007,0.043666666666666666,0.007,0.019222222222236133,0.021169509895975634,17.284933333333335,17.22443333333333,17.26113333333333,17.256833333333336,0.030478352966247662,490.4755666666667,157.05053333333333,155.829,267.78503333333293,192.85662618420773,27.832966666666668,27.834266666666668,27.671966666666666,27.7797333333334,0.09333093451784985,1.9333333333333333,1.5,1.5666666666666667,1.6666666666666679,0.23333333333332784,1.1,1.2666666666666666,1.3666666666666667,1.2444444444444447,0.13471506281088566,0.03966666666666666,0.04066666666666666,0.058,0.04611111111111318,0.010308213193645884
2023-07-31 07:00:00+00:00,30.04796666666667,0.3236,0.007,17.189733333333333,744.7696,32.029666666666664,1.5,1.2666666666666666,0.1753333333333333,0.9659258262890683,-0.25881904510252063,-0.4999999999999997,-0.8660254037844388,30.115499999999997,30.6098,30.573633333333337,30.432977777777598,0.27553785850511375,1.2428666666666668,0.9736333333333334,0.5668666666666666,0.9277888888888892,0.3403237940767793,0.043666666666666666,0.007,0.043666666666666666,0.031444444444458354,0.021169509895971786,17.231166666666663,17.284933333333335,17.22443333333333,17.24684444444445,0.033157307438584416,678.9145666666666,490.4755666666667,157.05053333333333,442.1468888888885,264.267408402103,28.988999999999997,27.832966666666668,27.834266666666668,28.21874444444451,0.6670611952083394,1.5666666666666667,1.9333333333333333,1.5,1.6666666666666679,0.23333333333332784,1.3666666666666667,1.1,1.2666666666666666,1.2444444444444447,0.13471506281088566,0.192,0.03966666666666666,0.04066666666666666,0.09077777777777984,0.08766244180771623
2023-07-31 08:00:00+00:00,30.1191,0.9573333333333333,0.007,17.096533333333333,595.4434666666667,34.493066666666664,1.9333333333333333,1.1,0.26799999999999996,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388,30.04796666666667,30.115499999999997,30.6098,30.257755555555377,0.30674363223045176,0.3236,1.2428666666666668,0.9736333333333334,0.8467000000000002,0.47259586799340775,0.007,0.043666666666666666,0.007,0.019222222222236133,0.021169509895975637,17.189733333333333,17.231166666666663,17.284933333333335,17.235277777777785,0.04773296476724257,744.7696,678.9145666666666,490.4755666666667,638.053244444444,131.97954230698798,32.029666666666664,28.988999999999997,27.832966666666668,29.617211111111175,2.1677314461429944,1.5,1.5666666666666667,1.9333333333333333,1.6666666666666679,0.23333333333332784,1.2666666666666666,1.3666666666666667,1.1,1.2444444444444445,0.13471506281088566,0.1753333333333333,0.192,0.03966666666666666,0.13566666666666874,0.08355503841440752
2023-07-31 09:00:00+00:00,29.975666666666665,1.1905000000000001,0.08203333333333333,17.105,624.974,32.93143333333333,1.3666666666666667,1.4,0.3046666666666667,0.7071067811865476,-0.7071067811865475,-0.4999999999999997,-0.8660254037844388,30.1191,30.04796666666667,30.115499999999997,30.09418888888871,0.040070068109327325,0.9573333333333333,0.3236,1.2428666666666668,0.8412666666666669,0.47049591331322144,0.007,0.007,0.043666666666666666,0.019222222222236133,0.021169509895975637,17.096533333333333,17.189733333333333,17.231166666666663,17.172477777777782,0.06895541500732136,595.4434666666667,744.7696,678.9145666666666,673.042544444444,74.8360475160313,34.493066666666664,32.029666666666664,28.988999999999997,31.837244444444508,2.7570740290180926,1.9333333333333333,1.5,1.5666666666666667,1.6666666666666679,0.23333333333332784,1.1,1.2666666666666666,1.3666666666666667,1.2444444444444447,0.13471506281088566,0.26799999999999996,0.1753333333333333,0.192,0.21177777777777984,0.0493978557038537
2023-07-31 10:00:00+00:00,30.066066666666664,0.36110000000000003,9.325166666666666,17.03936666666667,1668.6498,82.82063333333333,1.6666666666666667,1.5333333333333334,1.6276666666666666,0.49999999999999994,-0.8660254037844387,-0.4999999999999997,-0.8660254037844388,29.975666666666665,30.1191,30.04796666666667,30.047577777777594,0.0717174573698382,1.1905000000000001,0.9573333333333333,0.3236,0.8238111111111115,0.44860900611820986,0.08203333333333333,0.007,0.007,0.03201111111112502,0.04332051521074661,17.105,17.096533333333333,17.189733333333333,17.13042222222223,0.05153908261337769,624.974,595.4434666666667,744.7696,655.0623555555552,79.07942449914715,32.93143333333333,34.493066666666664,32.029666666666664,33.15138888888895,1.2463427397066054,1.3666666666666667,1.9333333333333333,1.5,1.6000000000000014,0.29627314724385556,1.4,1.1,1.2666666666666666,1.2555555555555558,0.15030832509407335,0.3046666666666667,0.26799999999999996,0.1753333333333333,0.2493333333333354,0.06665666591649085
2023-07-31 11:00:00+00:00,45.46323333333333,0.6543333333333333,11.936100000000001,16.9362,1818.3301333333334,100.0,1.2333333333333334,1.8,1.992,0.258819045102521,-0.9659258262890682,-0.4999999999999997,-0.8660254037844388,30.066066666666664,29.975666666666665,30.1191,30.05361111111093,0.07252334737048512,0.36110000000000003,1.1905000000000001,0.9573333333333333,0.8363111111111116,0.42773925901616927,9.325166666666666,0.08203333333333333,0.007,3.1380666666666808,5.358317115268452,17.03936666666667,17.105,17.096533333333333,17.08030000000001,0.03570118267030424,1668.6498,624.974,595.4434666666667,963.0224222222218,611.2695888901302,82.82063333333333,32.93143333333333,34.493066666666664,50.08171111111117,28.363487900318002,1.6666666666666667,1.3666666666666667,1.9333333333333333,1.6555555555555568,0.2834966849371761,1.5333333333333334,1.4,1.1,1.3444444444444443,0.22194427061597025,1.6276666666666666,0.3046666666666667,0.26799999999999996,0.7334444444444465,0.7746361391957853
2023-07-31 12:00:00+00:00,76.4275,0.4203,40.64883333333333,16.8605,1875.6315,100.0,1.6,1.1333333333333333,3.2786666666666666,1.2246467991473532e-16,-1.0,-0.4999999999999997,-0.8660254037844388,45.46323333333333,30.066066666666664,29.975666666666665,35.16832222222204,8.915769127184143,0.6543333333333333,0.36110000000000003,1.1905000000000001,0.7353111111111114,0.4205878509543121,11.936100000000001,9.325166666666666,0.08203333333333333,7.114433333333348,6.22858174368602,16.9362,17.03936666666667,17.105,17.02685555555556,0.08509263144105995,1818.3301333333334,1668.6498,624.974,1370.6513111111108,650.0977155598434,100.0,82.82063333333333,32.93143333333333,71.91735555555562,34.83833030449104,1.2333333333333334,1.6666666666666667,1.3666666666666667,1.4222222222222234,0.22194427061600788,1.8,1.5333333333333334,1.4,1.5777777777777782,0.20367003088693333,1.992,1.6276666666666666,0.3046666666666667,1.3081111111111132,0.887896536348283
2023-07-31 13:00:00+00:00,91.93553333333332,0.2596333333333333,34.445,16.7575,1629.0987333333333,100.0,1.2666666666666666,2.0,3.6853333333333333,-0.2588190451025208,-0.9659258262890683,-0.4999999999999997,-0.8660254037844388,76.4275,45.46323333333333,30.066066666666664,50.652266666666485,23.612288651909836,0.4203,0.6543333333333333,0.36110000000000003,0.47857777777777805,0.15506021888761085,40.64883333333333,11.936100000000001,9.325166666666666,20.636700000000012,17.380113740453826,16.8605,16.9362,17.03936666666667,16.94535555555556,0.08978412587386754,1875.6315,1818.3301333333334,1668.6498,1787.5371444444438,106.87147494660088,100.0,100.0,82.82063333333333,94.27354444444451,9.918511969507447,1.6,1.2333333333333334,1.6666666666666667,1.5000000000000016,0.23333333333334982,1.1333333333333333,1.8,1.5333333333333334,1.488888888888889,0.33554819712314476,3.2786666666666666,1.992,1.6276666666666666,2.2994444444444464,0.8673763974278172
